종목,date,series,value
LG에너지솔루션,2026-09-09,5일 이동평균,194240.0
LG에너지솔루션,2026-09-09,20일 이동평균,191245.0
SK스퀘어,2026-02-12,종가,410000.0
SK스퀘어,2026-02-12,5일 이동평균,
SK스퀘어,2026-02-12,20일 이동평균,
SK스퀘어,2026-02-13,종가,395000.0
SK스퀘어,2026-02-13,5일 이동평균,
SK스퀘어,2026-02-13,20일 이동평균,
SK스퀘어,2026-02-19,종가,403500.0
SK스퀘어,2026-02-19,5일 이동평균,
SK스퀘어,2026-02-19,20일 이동평균,
SK스퀘어,2026-02-20,종가,401500.0
SK스퀘어,2026-02-20,5일 이동평균,
SK스퀘어,2026-02-20,20일 이동평균,
SK스퀘어,2026-02-23,종가,396000.0
SK스퀘어,2026-02-23,5일 이동평균,401200.0
SK스퀘어,2026-02-23,20일 이동평균,
SK스퀘어,2026-02-24,종가,412500.0
SK스퀘어,2026-02-24,5일 이동평균,401700.0
SK스퀘어,2026-02-24,20일 이동평균,
SK스퀘어,2026-02-25,종가,426000.0
SK스퀘어,2026-02-25,5일 이동평균,407900.0
SK스퀘어,2026-02-25,20일 이동평균,
SK스퀘어,2026-02-26,종가,427000.0
SK스퀘어,2026-02-26,5일 이동평균,412600.0
SK스퀘어,2026-02-26,20일 이동평균,
SK스퀘어,2026-02-27,종가,427000.0
SK스퀘어,2026-02-27,5일 이동평균,417700.0
SK스퀘어,2026-02-27,20일 이동평균,
SK스퀘어,2026-03-03,종가,393000.0
SK스퀘어,2026-03-03,5일 이동평균,417100.0
SK스퀘어,2026-03-03,20일 이동평균,
SK스퀘어,2026-03-04,종가,347500.0
SK스퀘어,2026-03-04,5일 이동평균,404100.0
SK스퀘어,2026-03-04,20일 이동평균,
SK스퀘어,2026-03-05,종가,371500.0
SK스퀘어,2026-03-05,5일 이동평균,393200.0
SK스퀘어,2026-03-05,20일 이동평균,
SK스퀘어,2026-03-06,종가,377500.0
SK스퀘어,2026-03-06,5일 이동평균,383300.0
SK스퀘어,2026-03-06,20일 이동평균,
SK스퀘어,2026-03-09,종가,359500.0
SK스퀘어,2026-03-09,5일 이동평균,369800.0
SK스퀘어,2026-03-09,20일 이동평균,
SK스퀘어,2026-03-10,종가,367000.0
SK스퀘어,2026-03-10,5일 이동평균,364600.0
SK스퀘어,2026-03-10,20일 이동평균,
SK스퀘어,2026-03-11,종가,369500.0
SK스퀘어,2026-03-11,5일 이동평균,369000.0
SK스퀘어,2026-03-11,20일 이동평균,
SK스퀘어,2026-03-12,종가,384000.0
SK스퀘어,2026-03-12,5일 이동평균,371500.0
SK스퀘어,2026-03-12,20일 이동평균,
SK스퀘어,2026-03-13,종가,369000.0
SK스퀘어,2026-03-13,5일 이동평균,369800.0
SK스퀘어,2026-03-13,20일 이동평균,
SK스퀘어,2026-03-16,종가,366000.0
SK스퀘어,2026-03-16,5일 이동평균,371100.0
SK스퀘어,2026-03-16,20일 이동평균,
SK스퀘어,2026-03-17,종가,380500.0
SK스퀘어,2026-03-17,5일 이동평균,373800.0
